solver,benchType,nodes,dims,file,buildTime,queryTime,wrapSize
my_kd_proto,craft_var_node,500000,5,6.in,1.24203,171.887,1
my_kd_proto,craft_var_node,500000,5,7.in,1.26628,174.14,1
my_kd_proto,craft_var_node,500000,5,8.in,1.23054,171.733,1
my_kd_proto,craft_var_node,500000,5,9.in,1.25219,173.579,1
my_kd_proto,craft_var_node,800000,5,0.in,2.03599,330.614,1
my_kd_proto,craft_var_node,800000,5,1.in,2.06185,332.661,1
my_kd_proto,craft_var_node,800000,5,2.in,2.10188,332.651,1
my_kd_proto,craft_var_node,800000,5,3.in,2.09474,334.584,1
my_kd_proto,craft_var_node,800000,5,4.in,2.09155,337.538,1
my_kd_proto,craft_var_node,800000,5,5.in,2.06418,332.604,1
my_kd_proto,craft_var_node,800000,5,6.in,2.04406,332.92,1
my_kd_proto,craft_var_node,800000,5,7.in,2.06031,332.699,1
my_kd_proto,craft_var_node,800000,5,8.in,2.04592,332.413,1
my_kd_proto,craft_var_node,800000,5,9.in,2.06972,331.017,1
my_kd_proto,craft_var_node,1000000,5,0.in,2.64599,419.594,1
my_kd_proto,craft_var_node,1000000,5,1.in,2.60651,421.243,1
my_kd_proto,craft_var_node,1000000,5,2.in,2.65628,419.8,1
my_kd_proto,craft_var_node,2000000,5,0.in,5.51478,961.7,1
my_kd_proto,craft_var_node,2000000,5,1.in,5.54583,958.728,1
my_kd_proto,craft_var_node,2000000,5,2.in,5.57325,959.242,1
